objID,ra,dec,z,lgm_tot_p50,sfr_tot_p50,oh_p50
1237668365853065429,244.273163874292,11.4184596224828,0.04016281,10.46735,0.5985636,9.045841
1237655465930522935,240.310056390346,48.8911686923194,0.04444202,9.869906,-0.3776805,8.934143
1237665530644660270,229.150618014811,19.5357045477573,0.04300046,10.02935,-0.2829464,9.014427
1237661948641083457,178.290523441444,11.4180505349843,0.04297348,9.657052,0.06201057,8.790727
1237655498677813643,234.270890007011,-1.83301994737497,0.03310635,10.06418,0.2640626,9.051562
1237667212131106931,161.605591071906,28.4786948204841,0.03575077,10.69242,0.2183062,9.085434
1237665129092284429,216.070801887389,31.4150704121099,0.04056633,10.28862,0.5086641,9.169602
1237667911664599092,178.925863671986,24.9201954590463,0.03387965,10.33985,0.02884626,8.828171
1237648720153149689,171.279306562381,-1.03734486877742,0.04017433,9.973124,-0.06539977,8.871115
1237654880743522534,229.811073236927,3.90428457071632,0.03571301,10.11104,-0.1231235,9.010183
1237657606426787999,130.583302791756,40.7553822433917,0.03014745,9.829203,-0.02669158,9.013927
1237666089515221163,18.3519886030675,15.7827723996161,0.03852308,10.29576,0.3527322,9.059739
1237655743476924580,213.31110864784,6.36844381099201,0.0357058,9.725521,-0.03054777,8.9921
1237667113869377702,139.48327455268,25.1483395689245,0.04212821,9.806909,-0.08821535,8.500965
1237651271883817118,121.804770344178,46.0599840350764,0.0332008,9.48015,-0.3405373,8.834696
1237662224059924594,163.115530453594,37.1185663126584,0.04306693,9.866635,-0.1764102,8.986586
1237667734508208247,183.453315616192,21.9012623553062,0.03643707,9.829875,-0.004994658,9.111563
1237664667902214265,165.932489103546,37.8979945624073,0.04292442,9.679732,-0.2620384,9.054709
1237661386538811543,235.888009899127,44.1107816041661,0.03776816,9.975387,-0.3450598,8.938519
1237661069789888608,160.978684613161,13.9282276196989,0.03344518,9.808453,-0.03754225,9.110158
1237665443131031624,207.076489339985,29.0933420208923,0.04483505,10.23789,-0.3303029,8.91774
1237667255067672706,130.689981896123,19.4263751543571,0.03187206,10.08393,-0.1907848,8.948807
